time,wx,wy,wz
10.142,0.16,-0.37,-0.25
10.157,0.33,-0.53,-0.26
10.172,0.48,-0.53,-0.21
10.192,0.46,-0.58,-0.14
10.207,0.19,-0.71,-0.09
10.222,-0.06,-0.72,0.02
10.237,-0.04,-0.51,0.11
10.257,0.07,-0.34,0.01
10.272,0.17,-0.45,-0.05
10.287,0.28,-0.38,-0.01
10.301,0.32,-0.17,0.06
10.321,-0.02,-0.13,-0.00
10.336,-0.18,0.05,-0.10
